word,logp
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.2825510501861572, 1.556685209274292, 1.9650814533233643]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4267011880874634, 1.5735777616500854, 1.8785983324050903]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.5307010412216187, 1.5761171579360962, 1.9605369567871094]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.2263368368148804, 1.5034912824630737, 1.9664313793182373]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.672387719154358, 1.6691721677780151, 1.9167886972427368]"
"['<sos>', 'camera', 'camera', '<eos>']","[0.0, 1.5210384130477905, 1.634689211845398, 1.9210706949234009]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6214245557785034, 1.631251335144043, 1.9542913436889648]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.3985613584518433, 1.584922194480896, 1.7781400680541992]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.4522454738616943, 1.5802838802337646, 1.9859602451324463]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.3614963293075562, 1.5464648008346558, 1.8228541612625122]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5718363523483276, 1.6412872076034546, 1.8199083805084229]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4043123722076416, 1.5055738687515259, 1.9135559797286987]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.4590152502059937, 1.5994387865066528, 2.0114924907684326]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4340790510177612, 1.5612722635269165, 1.8692578077316284]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.4070885181427002, 1.5427993535995483, 1.9749020338058472]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.4253255128860474, 1.5667468309402466, 2.0349996089935303]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.513691782951355, 1.5970511436462402, 1.9713876247406006]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.5884016752243042, 1.5780199766159058, 2.037471294403076]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.671165943145752, 1.6415108442306519, 1.9487279653549194]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.5170691013336182, 1.620516300201416, 2.0350427627563477]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4814910888671875, 1.6100959777832031, 1.7940282821655273]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3693103790283203, 1.5853012800216675, 1.9323707818984985]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4848473072052002, 1.5714918375015259, 2.0100724697113037]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.391233205795288, 1.538997769355774, 1.9804331064224243]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.3625357151031494, 1.4866479635238647, 1.8950283527374268]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.504416823387146, 1.582077980041504, 1.9780323505401611]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3897321224212646, 1.6052659749984741, 1.9392719268798828]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4566130638122559, 1.5783603191375732, 1.9300872087478638]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5780258178710938, 1.5983129739761353, 1.9734950065612793]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.2526005506515503, 1.5119625329971313, 1.9512430429458618]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.5075414180755615, 1.6297495365142822, 2.008131742477417]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.6998050212860107, 1.7626667022705078, 1.971897840499878]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.5481504201889038, 1.670341968536377, 2.010374069213867]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5599387884140015, 1.5909303426742554, 1.9553663730621338]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.48697030544281, 1.6131960153579712, 1.9080220460891724]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4894862174987793, 1.5837416648864746, 2.036317825317383]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.535356044769287, 1.5934619903564453, 1.9618667364120483]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.417014718055725, 1.589733362197876, 1.9922064542770386]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.349375605583191, 1.5795851945877075, 1.9161146879196167]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.3909982442855835, 1.5888947248458862, 2.030602216720581]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.5737266540527344, 1.588146448135376, 1.998881459236145]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4405673742294312, 1.555429458618164, 1.931681752204895]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4887396097183228, 1.5702602863311768, 1.9893699884414673]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.567291498184204, 1.597297191619873, 1.920188307762146]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4012740850448608, 1.564960241317749, 2.008085250854492]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.3801982402801514, 1.529796838760376, 1.9454909563064575]"
"['<sos>', 'price', 'camera', '<eos>']","[0.0, 1.4354524612426758, 1.5740160942077637, 1.8803187608718872]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.3645145893096924, 1.5710663795471191, 2.0398905277252197]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.277914047241211, 1.4704433679580688, 1.956502914428711]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.3727471828460693, 1.5221672058105469, 1.90675950050354]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5000689029693604, 1.6028903722763062, 1.8048521280288696]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.389303207397461, 1.5585007667541504, 2.015024423599243]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.3242909908294678, 1.4859540462493896, 1.9765126705169678]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4994065761566162, 1.6068211793899536, 1.9805527925491333]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4543324708938599, 1.574817180633545, 1.8724626302719116]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4170870780944824, 1.5485796928405762, 1.9137929677963257]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.3888256549835205, 1.5744160413742065, 1.9525214433670044]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.378464698791504, 1.5424830913543701, 1.8807651996612549]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.5564782619476318, 1.680128574371338, 2.015061855316162]"
"['<sos>', 'quality', 'sound', '<eos>']","[0.0, 1.3158191442489624, 1.5413949489593506, 1.996637225151062]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.402622103691101, 1.5343420505523682, 1.8894641399383545]"
"['<sos>', 'camera', 'camera', '<eos>']","[0.0, 1.4177935123443604, 1.5741863250732422, 1.8954027891159058]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5209035873413086, 1.6005916595458984, 1.912658929824829]"
"['<sos>', 'product', 'sound', '<eos>']","[0.0, 1.0501271486282349, 1.4692316055297852, 1.9109158515930176]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.5614044666290283, 1.609317660331726, 2.0589334964752197]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.51414954662323, 1.54047691822052, 1.9379161596298218]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4277316331863403, 1.6110882759094238, 1.9863046407699585]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.548874020576477, 1.625858187675476, 1.845795750617981]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5329480171203613, 1.6639267206192017, 1.8625303506851196]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.2934231758117676, 1.5423702001571655, 1.965134620666504]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3867794275283813, 1.5884451866149902, 2.0219476222991943]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.5220366716384888, 1.6068546772003174, 1.933192253112793]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.3754525184631348, 1.5899516344070435, 2.0032947063446045]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.3431097269058228, 1.514699935913086, 1.9004631042480469]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.472790002822876, 1.5840026140213013, 1.9815236330032349]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5134429931640625, 1.5686123371124268, 1.927473783493042]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.4472877979278564, 1.5742793083190918, 2.0451412200927734]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3240646123886108, 1.5618327856063843, 1.967894434928894]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.5638504028320312, 1.6896636486053467, 1.9779698848724365]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.3660430908203125, 1.5585973262786865, 1.980338454246521]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5637933015823364, 1.5887869596481323, 1.9352859258651733]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6210510730743408, 1.654747724533081, 1.9256535768508911]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6206669807434082, 1.7034603357315063, 1.8219655752182007]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5529160499572754, 1.5785353183746338, 1.9723000526428223]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3938287496566772, 1.5788201093673706, 2.0166749954223633]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.4153563976287842, 1.5892642736434937, 2.00449275970459]"
"['<sos>', 'camera', 'camera', '<eos>']","[0.0, 1.4564509391784668, 1.587723970413208, 1.8722025156021118]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3992687463760376, 1.605921983718872, 1.980830430984497]"
"['<sos>', 'price', 'camera', '<eos>']","[0.0, 1.4862946271896362, 1.6086851358413696, 1.8781297206878662]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4742892980575562, 1.5850553512573242, 1.846190094947815]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3950830698013306, 1.6109275817871094, 1.9617007970809937]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.454021692276001, 1.600105881690979, 1.9723447561264038]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.5168899297714233, 1.648786187171936, 2.028759002685547]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.343492865562439, 1.5646312236785889, 1.9192781448364258]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.5760977268218994, 1.578758955001831, 1.9555413722991943]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.3970839977264404, 1.5115973949432373, 1.965785264968872]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5159435272216797, 1.6121913194656372, 1.8986948728561401]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6224474906921387, 1.6337512731552124, 1.9314966201782227]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.5040956735610962, 1.5703108310699463, 1.9535995721817017]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6649906635284424, 1.6619651317596436, 1.997692584991455]"
"['<sos>', 'camera', 'camera', 'camera', '<eos>']","[0.0, 1.5495705604553223, 1.685940146446228, 1.7272075414657593, 1.7848198413848877]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4046516418457031, 1.5638301372528076, 1.8685051202774048]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.2361536026000977, 1.5491337776184082, 2.015424966812134]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.532987117767334, 1.5623047351837158, 2.0513341426849365]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3024390935897827, 1.5485539436340332, 1.9933618307113647]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.3648978471755981, 1.5245932340621948, 1.997360110282898]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.5755397081375122, 1.5722602605819702, 2.0293021202087402]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.5211321115493774, 1.6092636585235596, 1.9022828340530396]"
"['<sos>', 'camera', 'camera', '<eos>']","[0.0, 1.7238367795944214, 1.7565337419509888, 1.8854221105575562]"
"['<sos>', 'price', 'camera', '<eos>']","[0.0, 1.3821072578430176, 1.5541703701019287, 1.8097540140151978]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3928760290145874, 1.5973070859909058, 1.936341404914856]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.2722821235656738, 1.4916852712631226, 1.8524079322814941]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4785959720611572, 1.5966774225234985, 1.940394401550293]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.250892996788025, 1.529809832572937, 1.9293766021728516]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.2967438697814941, 1.5476700067520142, 2.0110232830047607]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.496292233467102, 1.5641692876815796, 2.045163154602051]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5270875692367554, 1.6086456775665283, 1.941381812095642]"
"['<sos>', 'camera', 'camera', '<eos>']","[0.0, 1.5275050401687622, 1.648583173751831, 1.7876530885696411]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5081331729888916, 1.5825330018997192, 1.94313645362854]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.2106455564498901, 1.5545321702957153, 1.8958735466003418]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6118550300598145, 1.6322154998779297, 2.0034594535827637]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.502732753753662, 1.589186668395996, 1.9929699897766113]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3758416175842285, 1.5836349725723267, 1.9754014015197754]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4377979040145874, 1.5975955724716187, 1.9074333906173706]"
"['<sos>', 'price', 'price', 'sound', '<eos>']","[0.0, 1.4426301717758179, 1.5941617488861084, 1.574600338935852, 1.9807473421096802]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.4134560823440552, 1.5226976871490479, 1.9685717821121216]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5726150274276733, 1.5838055610656738, 1.9874801635742188]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.3804540634155273, 1.5163496732711792, 1.9347327947616577]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4844003915786743, 1.6391706466674805, 1.986135482788086]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.4233709573745728, 1.514149785041809, 2.0090067386627197]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5629258155822754, 1.600461483001709, 1.9151642322540283]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.546364665031433, 1.592394232749939, 1.9767341613769531]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5196560621261597, 1.603317379951477, 1.8782954216003418]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.4097248315811157, 1.5807340145111084, 2.024016857147217]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.209261417388916, 1.5060948133468628, 1.9429556131362915]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4847103357315063, 1.6379249095916748, 2.024409532546997]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.551785945892334, 1.611744999885559, 2.030996084213257]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.5058451890945435, 1.6200597286224365, 2.045727252960205]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6819298267364502, 1.6864067316055298, 1.8762316703796387]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4670811891555786, 1.5706181526184082, 1.9111067056655884]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.6128417253494263, 1.592913269996643, 2.0078225135803223]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4002025127410889, 1.5118520259857178, 1.8448445796966553]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.424892544746399, 1.508773922920227, 1.9649505615234375]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.402969479560852, 1.6512705087661743, 1.8850077390670776]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.4232558012008667, 1.6086175441741943, 1.9829806089401245]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4043108224868774, 1.5927883386611938, 2.001516342163086]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.455707311630249, 1.5077615976333618, 2.0071752071380615]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4038982391357422, 1.5790504217147827, 2.01442551612854]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4078880548477173, 1.5322890281677246, 1.9185278415679932]"
"['<sos>', 'price', 'price', 'sound', '<eos>']","[0.0, 1.6015732288360596, 1.6722607612609863, 1.6030800342559814, 1.9614492654800415]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.5748084783554077, 1.6058588027954102, 1.9980132579803467]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.3995658159255981, 1.5446903705596924, 1.8968762159347534]"
"['<sos>', 'camera', 'camera', '<eos>']","[0.0, 1.5014487504959106, 1.6380454301834106, 1.7522718906402588]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.6094704866409302, 1.7000633478164673, 1.9970887899398804]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6197586059570312, 1.6212135553359985, 1.959930419921875]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4724724292755127, 1.5975298881530762, 2.046677827835083]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4232878684997559, 1.605846881866455, 2.046982765197754]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5414761304855347, 1.591812014579773, 1.949404001235962]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4013630151748657, 1.5457377433776855, 1.9288015365600586]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.2599586248397827, 1.4491935968399048, 1.94914972782135]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.1796250343322754, 1.430235743522644, 1.8435860872268677]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5903027057647705, 1.66000235080719, 1.917864203453064]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.5931370258331299, 1.5998953580856323, 1.9607757329940796]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.429316520690918, 1.49813711643219, 1.916873574256897]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4617512226104736, 1.5873736143112183, 1.8931317329406738]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.387657880783081, 1.5500519275665283, 1.7862015962600708]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.5161898136138916, 1.575018286705017, 1.9798179864883423]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4478541612625122, 1.6382359266281128, 1.9430476427078247]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.4516856670379639, 1.5322173833847046, 2.048062324523926]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4163435697555542, 1.5292054414749146, 1.9566909074783325]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.3798787593841553, 1.4822148084640503, 1.9338713884353638]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5511664152145386, 1.585504412651062, 1.9213889837265015]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6155152320861816, 1.6326816082000732, 1.9381741285324097]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6687686443328857, 1.6694058179855347, 1.9194382429122925]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.3970959186553955, 1.5444049835205078, 1.9963607788085938]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5407882928848267, 1.5971413850784302, 1.9423892498016357]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.1981275081634521, 1.4821096658706665, 1.8468283414840698]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.3993257284164429, 1.5805108547210693, 2.009920120239258]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.356711745262146, 1.5847036838531494, 1.947668433189392]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4114124774932861, 1.5502126216888428, 1.9044253826141357]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.5960254669189453, 1.5792386531829834, 2.0352225303649902]"
"['<sos>', 'product', 'sound', '<eos>']","[0.0, 1.3926539421081543, 1.5695669651031494, 1.9822453260421753]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4255475997924805, 1.5587964057922363, 1.8228904008865356]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.592904806137085, 1.6870484352111816, 1.8770889043807983]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.3404942750930786, 1.477199673652649, 1.9603792428970337]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.3260878324508667, 1.4752423763275146, 1.9158873558044434]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4208662509918213, 1.5413939952850342, 2.0143544673919678]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.4832757711410522, 1.5983303785324097, 2.038299322128296]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5520862340927124, 1.6180369853973389, 1.9349548816680908]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.3685872554779053, 1.5242480039596558, 1.8443474769592285]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4365122318267822, 1.6445093154907227, 1.959701657295227]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.1280899047851562, 1.4376646280288696, 1.8368803262710571]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5925958156585693, 1.650113821029663, 1.882384181022644]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.3355610370635986, 1.519884467124939, 1.8885918855667114]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4252674579620361, 1.5338319540023804, 1.935105562210083]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.5481151342391968, 1.6004080772399902, 2.0461068153381348]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5481624603271484, 1.65038001537323, 1.8293039798736572]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5677303075790405, 1.6012212038040161, 1.9181901216506958]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4130828380584717, 1.5582596063613892, 1.8966505527496338]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.3886325359344482, 1.5389448404312134, 1.9464250802993774]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3718161582946777, 1.578441858291626, 1.9237477779388428]"
